Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
22	4	3	0.000000	0.000000	0.000000	12.582993	0.025187	1.000000	0	0.000000
6	9	5	0.000000	0.000000	0.000000	17.958676	0.002639	0.889312	0	0.000000
24	12	6	0.000000	0.000000	0.000000	22.484741	0.010935	0.751591	0	0.000000
5	11	6	0.000000	0.000000	0.000000	20.653123	0.004526	1.000000	0	0.000000
14	13	6	0.000000	0.000000	0.000000	20.275259	0.005504	0.846639	0	0.000000
17	49	7	0.000000	0.000000	0.000000	33.200305	0.027924	0.537507	0	0.000000
2	57	8	0.000000	0.000000	0.000000	37.589402	0.055639	0.598888	0	0.000000
25	21	8	0.000000	0.000000	0.000000	31.923179	0.029323	0.418112	0	0.000000
8	83	9	0.000000	0.000000	0.000000	39.342623	0.132223	0.642052	0	0.000000
12	18	9	0.000000	0.000000	0.000000	24.846361	0.039296	0.634667	0	0.000000
7	17	9	0.000000	0.000000	0.000000	26.060933	0.046693	0.765610	0	0.000000
23	56	9	0.000000	0.000000	0.000000	40.714317	0.050994	0.385235	0	0.000000
16	91	9	0.000000	0.000000	0.000000	41.222815	0.107081	0.696012	0	0.000000
18	19	10	0.000000	0.000000	0.000000	25.576705	0.093655	0.591261	0	0.000000
15	16	10	0.000000	0.000000	0.000000	26.353003	0.185963	0.575582	0	0.000000
13	168	12	0.000000	0.000000	0.000000	51.308311	0.404232	0.526637	0	0.000000
10	79	12	0.000000	0.000000	0.000000	42.396375	0.390825	0.497240	0	0.000000
9	55	13	0.000000	0.000000	0.000000	40.742295	1.025237	0.639790	0	0.000000
11	86	13	0.000000	0.000000	0.000000	53.519385	0.534753	0.630443	0	0.000000
4	70	15	0.000000	0.000000	0.000000	63.304682	1.031058	0.505520	0	0.000000
3	31	16	0.000000	0.000000	0.000000	31.374999	1.490338	0.592422	0	0.000000
34	113	16	0.000000	0.000000	0.000000	52.291511	4.865114	0.455793	0	0.000000
19	37	18	0.000000	0.000000	0.000000	46.244791	2.824092	0.429495	0	0.000000
28	43	19	0.000000	0.000000	0.000000	46.098306	3.481029	0.565127	0	0.000000
21	111	19	0.000000	0.000000	0.000000	56.830368	10.741576	0.492601	0	0.000000
26	175	25	0.000000	0.000000	0.000000	69.949923	56.574207	0.315736	0	0.000000
33	35	29	0.000000	0.000000	0.000000	41.542124	414.284218	0.504075	0	0.000000
1	156	29	0.000000	0.000000	0.000000	69.273154	116.305470	0.387380	0	0.000000
